            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2445735.500000000, A.D. 1984-Feb-05 00:00:00.0000, -9.543921971414248E+08, -2.676107669351292E+09,  2.467082886299610E+06,  6.377669016511841E+00, -2.608265987920320E+00, -9.227778504411910E-02,
2445736.500000000, A.D. 1984-Feb-06 00:00:00.0000, -9.538411400982841E+08, -2.676332967066044E+09,  2.459102206706285E+06,  6.378214008896093E+00, -2.606942559353842E+00, -9.245374346890101E-02,
2445737.500000000, A.D. 1984-Feb-07 00:00:00.0000, -9.532900448026211E+08, -2.676558147104274E+09,  2.451116378179789E+06,  6.378680708853649E+00, -2.605564720334320E+00, -9.235489789301221E-02,
2445738.500000000, A.D. 1984-Feb-08 00:00:00.0000, -9.527388933214209E+08, -2.676783212063626E+09,  2.443135185836434E+06,  6.379427591870910E+00, -2.604280907836128E+00, -9.249581993562928E-02,
2445739.500000000, A.D. 1984-Feb-09 00:00:00.0000, -9.521876941980239E+08, -2.677008164148654E+09,  2.435129462807178E+06,  6.379757174030060E+00, -2.602923055911507E+00, -9.276554808545623E-02,
2445740.500000000, A.D. 1984-Feb-10 00:00:00.0000, -9.516364700166266E+08, -2.677232996172673E+09,  2.427115019216657E+06,  6.380106684747709E+00, -2.601529540529561E+00, -9.274125239283348E-02,
2445741.500000000, A.D. 1984-Feb-11 00:00:00.0000, -9.510852116706030E+08, -2.677457709094453E+09,  2.419099115171552E+06,  6.380450823192688E+00, -2.600146190559532E+00, -9.280130252080088E-02,
2445742.500000000, A.D. 1984-Feb-12 00:00:00.0000, -9.505339271810743E+08, -2.677682300051429E+09,  2.411089864177227E+06,  6.380839537429105E+00, -2.598731054334895E+00, -9.256863586129305E-02,
2445743.500000000, A.D. 1984-Feb-13 00:00:00.0000, -9.499825932942178E+08, -2.677906772954696E+09,  2.403095798054576E+06,  6.381509142329426E+00, -2.597408993217681E+00, -9.255810873122550E-02,
2445744.500000000, A.D. 1984-Feb-14 00:00:00.0000, -9.494312146605761E+08, -2.678131130196230E+09,  2.395092047557354E+06,  6.381834473941544E+00, -2.596024341542607E+00, -9.263801062418342E-02,
2445745.500000000, A.D. 1984-Feb-15 00:00:00.0000, -9.488798036592660E+08, -2.678355366298861E+09,  2.387098599841952E+06,  6.382386171560468E+00, -2.594647494623866E+00, -9.242276202866651E-02,
2445746.500000000, A.D. 1984-Feb-16 00:00:00.0000, -9.483283364617536E+08, -2.678579487207672E+09,  2.379110543923378E+06,  6.383011311774756E+00, -2.593331425906650E+00, -9.252799472117657E-02,
2445747.500000000, A.D. 1984-Feb-17 00:00:00.0000, -9.477768267336215E+08, -2.678803491953702E+09,  2.371113084001064E+06,  6.383434677199445E+00, -2.591960615819612E+00, -9.255183771236641E-02,
2445748.500000000, A.D. 1984-Feb-18 00:00:00.0000, -9.472252736433824E+08, -2.679027379590951E+09,  2.363114144857287E+06,  6.383964398647421E+00, -2.590624172511724E+00, -9.266084374134820E-02,
2445749.500000000, A.D. 1984-Feb-19 00:00:00.0000, -9.466736879321810E+08, -2.679251149084161E+09,  2.355104313234925E+06,  6.384206018898086E+00, -2.589210563669456E+00, -9.267500928383843E-02,
2445750.500000000, A.D. 1984-Feb-20 00:00:00.0000, -9.461220731904593E+08, -2.679474795923786E+09,  2.347110308873534E+06,  6.384751669898076E+00, -2.587822963801112E+00, -9.238978083532656E-02,
2445751.500000000, A.D. 1984-Feb-21 00:00:00.0000, -9.455703997024568E+08, -2.679698327649110E+09,  2.339124571932554E+06,  6.385392166836629E+00, -2.586513002523868E+00, -9.251278202602375E-02,
2445752.500000000, A.D. 1984-Feb-22 00:00:00.0000, -9.450186853520716E+08, -2.679921742691843E+09,  2.331130260951877E+06,  6.385794156515457E+00, -2.585129365755539E+00, -9.248935616074994E-02,
2445753.500000000, A.D. 1984-Feb-23 00:00:00.0000, -9.444669264529551E+08, -2.680145039763609E+09,  2.323142651908755E+06,  6.386424960721989E+00, -2.583796270505955E+00, -9.246448828137299E-02,
2445754.500000000, A.D. 1984-Feb-24 00:00:00.0000, -9.439151183379260E+08, -2.680368221943359E+09,  2.315146905204654E+06,  6.386873321718051E+00, -2.582443682923482E+00, -9.257947682176704E-02,
2445755.500000000, A.D. 1984-Feb-25 00:00:00.0000, -9.433632689997116E+08, -2.680591286588218E+09,  2.307149542656541E+06,  6.387456532577803E+00, -2.581105118203618E+00, -9.258734342582642E-02,
2445756.500000000, A.D. 1984-Feb-26 00:00:00.0000, -9.428113703872728E+08, -2.680814237329703E+09,  2.299137319570541E+06,  6.387885813511254E+00, -2.579775050941993E+00, -9.290372968167770E-02,
2445757.500000000, A.D. 1984-Feb-27 00:00:00.0000, -9.422594538770095E+08, -2.681037067563571E+09,  2.291108002271175E+06,  6.387994830821373E+00, -2.578324026691823E+00, -9.284922141007845E-02,
2445758.500000000, A.D. 1984-Feb-28 00:00:00.0000, -9.417075107578737E+08, -2.681259774394866E+09,  2.283095949927330E+06,  6.388499010883524E+00, -2.576942329976151E+00, -9.267121879154272E-02,
2445759.500000000, A.D. 1984-Feb-29 00:00:00.0000, -9.411555252189400E+08, -2.681482362994831E+09,  2.275089009384274E+06,  6.388908165357595E+00, -2.575561075065157E+00, -9.265452438727706E-02,
2445760.500000000, A.D. 1984-Mar-01 00:00:00.0000, -9.406035044628404E+08, -2.681704830992586E+09,  2.267092808953881E+06,  6.389417238473582E+00, -2.574175390898802E+00, -9.244521111946380E-02,
2445761.500000000, A.D. 1984-Mar-02 00:00:00.0000, -9.400514322011713E+08, -2.681927182241664E+09,  2.259105044763803E+06,  6.389978353950827E+00, -2.572835073939079E+00, -9.247572910070156E-02,
2445762.500000000, A.D. 1984-Mar-03 00:00:00.0000, -9.394993193128372E+08, -2.682149415156582E+09,  2.251120101334095E+06,  6.390457998359517E+00, -2.571449938369228E+00, -9.231695371432069E-02,
2445763.500000000, A.D. 1984-Mar-04 00:00:00.0000, -9.389471489958661E+08, -2.682371532020244E+09,  2.243148447550654E+06,  6.391285423289508E+00, -2.570163228199452E+00, -9.231680705186174E-02,
2445764.500000000, A.D. 1984-Mar-05 00:00:00.0000, -9.383949186408849E+08, -2.682593538126155E+09,  2.235156015237451E+06,  6.391731373576997E+00, -2.568840726280968E+00, -9.265412764114789E-02,
2445765.500000000, A.D. 1984-Mar-06 00:00:00.0000, -9.378426595448726E+08, -2.682815425705483E+09,  2.227149193052888E+06,  6.392084738910294E+00, -2.567451681328247E+00, -9.266133899092110E-02,
2445766.500000000, A.D. 1984-Mar-07 00:00:00.0000, -9.372903625148548E+08, -2.683037195074706E+09,  2.219140466462016E+06,  6.392536183639268E+00, -2.566095998262348E+00, -9.275900487477462E-02,
2445767.500000000, A.D. 1984-Mar-08 00:00:00.0000, -9.367380356376361E+08, -2.683258844933502E+09,  2.211126453206539E+06,  6.392843737887639E+00, -2.564685900772287E+00, -9.268634626457095E-02,
2445768.500000000, A.D. 1984-Mar-09 00:00:00.0000, -9.361856693279040E+08, -2.683480375277977E+09,  2.203122068419337E+06,  6.393416461302831E+00, -2.563341140263340E+00, -9.266346694971395E-02,
2445769.500000000, A.D. 1984-Mar-10 00:00:00.0000, -9.356332621426716E+08, -2.683701788891532E+09,  2.195109606765509E+06,  6.393725011263415E+00, -2.561954527233047E+00, -9.276390379853106E-02,
2445770.500000000, A.D. 1984-Mar-11 00:00:00.0000, -9.350808294873991E+08, -2.683923079998572E+09,  2.187106531858802E+06,  6.394172202887487E+00, -2.560544871437295E+00, -9.247676291297369E-02,
2445771.500000000, A.D. 1984-Mar-12 00:00:00.0000, -9.345283412866656E+08, -2.684144254570686E+09,  2.179117315093756E+06,  6.394866040545400E+00, -2.559237427753370E+00, -9.252768087931273E-02,
2445772.500000000, A.D. 1984-Mar-13 00:00:00.0000, -9.339758060188926E+08, -2.684365314242985E+09,  2.171116831553459E+06,  6.395279874043393E+00, -2.557874491800907E+00, -9.262560509590989E-02,
