            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.286294039375985E+08, -7.956986263713738E+07,  1.026808089934252E+05,  1.762302644090476E+01,  3.460533172852167E+01,  3.295147043918641E+00,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.301321370230550E+08, -7.657362855080509E+07,  3.855886646107025E+05,  1.717076340369547E+01,  3.478385371838243E+01,  3.265482868525462E+00,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.315966944893669E+08, -7.355805959355076E+07,  6.674293132414259E+05,  1.673049131028962E+01,  3.502178363771142E+01,  3.259255874045081E+00,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.330230254691538E+08, -7.052192597823185E+07,  9.488310908172019E+05,  1.628549915645980E+01,  3.525815195360697E+01,  3.254727272368488E+00,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.344106630630991E+08, -6.746565530704525E+07,  1.229841705686487E+06,  1.583477760010573E+01,  3.548751082988191E+01,  3.250073574271081E+00,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.357591107309385E+08, -6.438993260095207E+07,  1.510426532681838E+06,  1.537835730083149E+01,  3.570826438208043E+01,  3.244828082336618E+00,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.370678866112215E+08, -6.129553689552958E+07,  1.790525879720815E+06,  1.491650223904536E+01,  3.591966270493938E+01,  3.238817383544657E+00,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.383365357843970E+08, -5.818329777340765E+07,  2.070069867158916E+06,  1.444956049569764E+01,  3.612124250393298E+01,  3.231963824306312E+00,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.395646353524899E+08, -5.505407866803478E+07,  2.348983847031847E+06,  1.397792119689932E+01,  3.631266914640657E+01,  3.224229579933898E+00,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.407517971771144E+08, -5.190876855563348E+07,  2.627190842614127E+06,  1.350199806495103E+01,  3.649368033922408E+01,  3.215596528358999E+00,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.418976696286067E+08, -4.874827684947413E+07,  2.904612835595028E+06,  1.302222152772154E+01,  3.666406278595005E+01,  3.206057752725309E+00,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.430019388142671E+08, -4.557352968665977E+07,  3.181171539964773E+06,  1.253903407164490E+01,  3.682364144398063E+01,  3.195613506491663E+00,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.440643294727033E+08, -4.238546687947282E+07,  3.456788921491753E+06,  1.205288697702076E+01,  3.697227417106547E+01,  3.184269109075741E+00,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  1.450846056173216E+08, -3.918503920855448E+07,  3.731387579472275E+06,  1.156423769964024E+01,  3.710984886068121E+01,  3.172033755221724E+00,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  1.460625709695583E+08, -3.597320590553820E+07,  4.004891047797093E+06,  1.107354759937518E+01,  3.723628177893230E+01,  3.158919789426115E+00,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  1.469980692081588E+08, -3.275093225097097E+07,  4.277224045490490E+06,  1.058127990296092E+01,  3.735151648887162E+01,  3.144942233467848E+00,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.478909840368963E+08, -2.951918725193379E+07,  4.548312691722343E+06,  1.008789755716755E+01,  3.745552304173392E+01,  3.130118426028909E+00,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.487412390803051E+08, -2.627894138442097E+07,  4.818084694414241E+06,  9.593861410252535E+00,  3.754829726919142E+01,  3.114467767049627E+00,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.495487976250024E+08, -2.303116439571728E+07,  5.086469518848520E+06,  9.099628423831739E+00,  3.762986008999805E+01,  3.098011502845729E+00,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.503136622089049E+08, -1.977682316811196E+07,  5.353398538874146E+06,  8.605649951266065E+00,  3.770025677818303E+01,  3.080772537004320E+00,
