            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2450281.500000000, A.D. 1996-Jul-17 00:00:00.0000,  6.365595028050780E+07, -1.380843720347276E+08, -6.130807554572821E+02,  2.657630716061281E+01,  1.236741531907362E+01, -3.308666545134287E-04,
2450282.500000000, A.D. 1996-Jul-18 00:00:00.0000,  6.594298979284481E+07, -1.369963386572196E+08, -6.498145495876670E+02,  2.636310874079863E+01,  1.281790381274248E+01, -5.152227609892535E-04,
2450283.500000000, A.D. 1996-Jul-19 00:00:00.0000,  6.821127028475209E+07, -1.358695513676339E+08, -7.012726131156087E+02,  2.614209177921780E+01,  1.326446517697033E+01, -6.704834809960758E-04,
2450284.500000000, A.D. 1996-Jul-20 00:00:00.0000,  7.046012190985993E+07, -1.347043574617954E+08, -7.646346823424101E+02,  2.591338972606054E+01,  1.370691624692549E+01, -7.896787253960369E-04,
2450285.500000000, A.D. 1996-Jul-21 00:00:00.0000,  7.268888688722695E+07, -1.335011195813632E+08, -8.365107540935278E+02,  2.567714844531909E+01,  1.414508502936339E+01, -8.665975231769707E-04,
2450286.500000000, A.D. 1996-Jul-22 00:00:00.0000,  7.489692059478034E+07, -1.322602147212420E+08, -9.130091306716204E+02,  2.543352687233585E+01,  1.457881147441693E+01, -8.958539745282934E-04,
2450287.500000000, A.D. 1996-Jul-23 00:00:00.0000,  7.708359276140663E+07, -1.309820331204322E+08, -9.898137973546982E+02,  2.518269858199208E+01,  1.500794956956996E+01, -8.730529741045601E-04,
2450288.500000000, A.D. 1996-Jul-24 00:00:00.0000,  7.924828881159544E+07, -1.296669768774316E+08, -1.062284074671566E+03,  2.492485357182086E+01,  1.543237179301521E+01, -7.951580629441679E-04,
2450289.500000000, A.D. 1996-Jul-25 00:00:00.0000,  8.139041132108238E+07, -1.283154580464915E+08, -1.125598482027650E+03,  2.466019870646486E+01,  1.585197677510329E+01, -6.611610692219827E-04,
2450290.500000000, A.D. 1996-Jul-26 00:00:00.0000,  8.350938136462285E+07, -1.269278959277699E+08, -1.174971403203905E+03,  2.438895427450943E+01,  1.626670017959026E+01, -4.730953928389070E-04,
2450291.500000000, A.D. 1996-Jul-27 00:00:00.0000,  8.560463928347871E+07, -1.255047133353812E+08, -1.205968950465322E+03,  2.411134346855095E+01,  1.667652695816100E+01, -2.372813524234019E-04,
2450292.500000000, A.D. 1996-Jul-28 00:00:00.0000,  8.767564414363375E+07, -1.240463319055017E+08, -1.214930028796196E+03,  2.382757239490736E+01,  1.708150027257074E+01,  3.457280044294464E-05,
2450293.500000000, A.D. 1996-Jul-29 00:00:00.0000,  8.972187107916483E+07, -1.225531670361782E+08, -1.199453161582351E+03,  2.353780176716612E+01,  1.748171977563441E+01,  3.250766293234619E-04,
2450294.500000000, A.D. 1996-Jul-30 00:00:00.0000,  9.174280607267331E+07, -1.210256236926046E+08, -1.158847350738943E+03,  2.324211768700145E+01,  1.787732251847946E+01,  6.123816796801407E-04,
2450295.500000000, A.D. 1996-Jul-31 00:00:00.0000,  9.373793862644523E+07, -1.194640946580262E+08, -1.094400289393961E+03,  2.294051435393526E+01,  1.826844624037897E+01,  8.731510523123376E-04,
2450296.500000000, A.D. 1996-Aug-01 00:00:00.0000,  9.570675389369714E+07, -1.178689623805249E+08, -1.009337276592851E+03,  2.263290010942898E+01,  1.865518539971855E+01,  1.086544024659908E-03,
2450297.500000000, A.D. 1996-Aug-02 00:00:00.0000,  9.764872642020009E+07, -1.162406043163549E+08, -9.084450209289789E+02,  2.231912762247566E+01,  1.903755708027548E+01,  1.237718314167857E-03,
2450298.500000000, A.D. 1996-Aug-03 00:00:00.0000,  9.956331713396825E+07, -1.145794002871640E+08, -7.974646914675832E+02,  2.199903611074942E+01,  1.941548968572759E+01,  1.319517182706065E-03,
2450299.500000000, A.D. 1996-Aug-04 00:00:00.0000,  1.014499738856155E+08, -1.128857397683290E+08, -6.824329526722431E+02,  2.167248874468795E+01,  1.978883480842486E+01,  1.332035922846586E-03,
2450300.500000000, A.D. 1996-Aug-05 00:00:00.0000,  1.033081345872266E+08, -1.111600274965192E+08, -5.691284539625049E+02,  2.133939445290368E+01,  2.015739214064412E+01,  1.280786421602897E-03,
2450301.500000000, A.D. 1996-Aug-06 00:00:00.0000,  1.051372315019835E+08, -1.094026868071857E+08, -4.626991698294878E+02,  2.099971333053904E+01,  2.052093537396733E+01,  1.174508525970452E-03,
2450302.500000000, A.D. 1996-Aug-07 00:00:00.0000,  1.069366954842099E+08, -1.076141609815647E+08, -3.674654805436730E+02,  2.065345123885916E+01,  2.087923164771686E+01,  1.023373361419999E-03,
2450303.500000000, A.D. 1996-Aug-08 00:00:00.0000,  1.087059595285719E+08, -1.057949132727850E+08, -2.868505291044712E+02,  2.030065018932395E+01,  2.123205274668302E+01,  8.378433781857098E-04,
2450304.500000000, A.D. 1996-Aug-09 00:00:00.0000,  1.104444614802558E+08, -1.039454262688566E+08, -2.233824815228581E+02,  1.994137907957484E+01,  2.157917966672816E+01,  6.281201961382266E-04,
2450305.500000000, A.D. 1996-Aug-10 00:00:00.0000,  1.121516460430396E+08, -1.020662010527186E+08, -1.787261256724596E+02,  1.957572688301797E+01,  2.192040318297036E+01,  4.039821351344841E-04,
2450306.500000000, A.D. 1996-Aug-11 00:00:00.0000,  1.138269663226575E+08, -1.001577564001255E+08, -1.537189367115498E+02,  1.920379866933567E+01,  2.225552273228985E+01,  1.748139365727042E-04,
2450307.500000000, A.D. 1996-Aug-12 00:00:00.0000,  1.154698851319938E+08, -9.822062808755501E+07, -1.484017714485526E+02,  1.882571394580008E+01,  2.258434518341448E+01, -5.031813802247598E-05,
2450308.500000000, A.D. 1996-Aug-13 00:00:00.0000,  1.170798762234543E+08, -9.625536827787782E+07, -1.620445232167840E+02,  1.844160648294700E+01,  2.290668435927628E+01, -2.626352448764635E-04,
2450309.500000000, A.D. 1996-Aug-14 00:00:00.0000,  1.186564255393797E+08, -9.426254490214920E+07, -1.931725960746408E+02,  1.805162477405414E+01,  2.322236161721681E+01, -4.536991521142397E-04,
2450310.500000000, A.D. 1996-Aug-15 00:00:00.0000,  1.201990325038407E+08, -9.224274094793084E+07, -2.396017984673381E+02,  1.765593243846262E+01,  2.353120739122034E+01, -6.155517261774435E-04,
2450311.500000000, A.D. 1996-Aug-16 00:00:00.0000,  1.217072113305420E+08, -9.019655358445448E+07, -2.984882274754345E+02,  1.725470814662630E+01,  2.383306335956038E+01, -7.409171582661855E-04,
2450312.500000000, A.D. 1996-Aug-17 00:00:00.0000,  1.231804922985499E+08, -8.812459308796683E+07, -3.663971211872995E+02,  1.684814495729056E+01,  2.412778484190803E+01, -8.234333025463059E-04,
2450313.500000000, A.D. 1996-Aug-18 00:00:00.0000,  1.246184229503709E+08, -8.602748156044555E+07, -4.393919547870755E+02,  1.643644922525976E+01,  2.441524316137273E+01, -8.578861773873570E-04,
